hash,id,material
79214386a166de50472c85e4687c7d86,old-wheel-gate-entrance-to-estate,Oil on paper
72cbfb44686e7db7bb2e09842f9604b0,three-studies-for-a-crucifixion,Three carborundum etchings
6d719ba4318ecac1890e1dd23b54c21d,the-rape-4,Oil on canvas
054c1d3b4d6522aefa0cce01e4fe5a11,whitethorn-truck-view,Oil on linen
21abd0878a68ffd29027138206d40920,head-of-a-girl,Oil on canvas
cc0bac9d475b276dc95ad48f4baaafef,untitled-5,Aquatint and sugarlift
1f7d87062ea1e658716e73d8f3b1ffe8,sultry-moon,Giclée print
1c64dd833c281b60a4f8a80e24ac9391,mesa-de-mosaicos-con-objetos,Lithograph
7e01559385ae51a5efea82a64dd95531,white-park-bay-co-antrim,Cibachrome photograph
1f05b7e8232b4af1d2e151663b1471e8,glad-that-things-dont-talk,"Zinc, rubber, cable, lead"
ce0e322f229eb08be40a1dc07912fbd1,ten-toes-towards-the-rainbow-portfolio-containing-9-works,Offset Lithograph
3530bd9ff9be8f621f0ebb3f7f74d7c5,she-weeps-over-rahoon-from-pomes-penyeach,Etching
02356fc26ffac5e3ecb8be05b5db450b,homenaje-a-rembrant,Etching
6699d4cddfe44cdc534e4a82a67ed252,yagul-light-of-the-leaves-14,Screenprint
e936d8a19edc7369cd8a89644010a916,the-old-man-and-the-sea-2,Etching
b36c5c80de4dcd7364e18307bd932ada,bowl-round-ceramic,Red nickel glaze and iron oxide glaze on white stoneware
3364514c4ab47b457da677011d06f73a,untitled-124,Conte and wash on paper
e2d6262a1a7f8576668eeb84faf8ceac,growing-up,"Etching, aquatint"
4c0e0f3b33bbc4d1d43b96d3c6d09850,the-troubles-an-artists-document-of-ulster-10,Archival cibachrome
d470ad810d96a80b1a48210d8a7d2a39,st-francis-street-boys-1994,Plaster and acrylic paint
76724d501fea64f1b73adecc1e916508,encounter-with-half-a-horse,Oil on board
ae3ce476c84da4745e7868861f466fd9,machina,"Metal mechanical machine, clothes rail, roll of paper"
5c236b63f7ab176475a12cf7f8c3f652,drawing-for-salome,Ink on paper
4c418e062eca612bc6ffcf01681cf335,empreintes-de-pas,Screenprint
243883712b986cac487db562b1bd2f07,red-cloud-after-mondrian,Ink and watercolour paper
007388158d1400a04e1c438115f68eab,the-marchers,Cast aluminium
fea09d6e2a151eb0929363f3730122ca,old-man-and-dog,Oil on board
9100ecd2407ccf2a2cbada6d2a970d47,heart,"MDF, American walnut veneer, audio equipment"
d45c6b1244da60d2f56b740c58a192d3,diario-popular-twelve-days-in-march-4,mixed media on paper
4dbd94a98a9cf7ae8d083953e5a13fe1,unknown-3,Black and white photographs
5bdddc69cd3c12d09a655af1edfdfec4,woman-giving-birth-to-men,Pastel on paper
599f37308bc1664fbf003e900c6c6847,the-kathakers-038-011-storytellers,"concrete fabric, birch ply, steel, copper, corrugated paper, glass"
09a21d3656a3499f787ca2e2b5aa983d,between-the-eyes-t5,Pencil on double sided poster
cbc5ed3cbe3de8c8f29ae3f2c787c2c7,he-foresaw-his-pale-body,"Heliogravure, burin engraving and roulette in 23 colours from 4 plates"
5b517e2d17cf5589a41ac6239cbbe8ca,seer,Oil on canvas
aca00b06ade59a9e1544c993b7771729,preliminary-drawing-for-body-of-thought-no-i-bt-4,Pencil on tracing paper
1a3617c5b08a2ea4f72ac7db3ff9efc5,cage-i,C-type photograph on aluminuim
730cc6d175861a6807228c0f90bb4d6d,angels-of-sarajevo-2,Poster
c74e48de792d93062a64c05de70c0e81,titians-robe,"Etching, aquatint"
9ea126f116277d8635ff53128f84f2af,perspectiva-para-un-abrazo,Screenprint
109b3b028b2ef3386e89f76ac4f9571e,wall-of-light-yellow,Oil on linen
cd15a6afd595af67c6f5f1604ecba9fb,abstract-2,Gouache
bc2222638fa0f201221e6d84abcb3296,reflex-seris-no-13,Mixed media on paper
8a92e1a8eceb61551f840b44e0bb286d,big-school-dog,"Plaster, blackboard, chalks"
d450d6c745a34be6767c811c10e01b19,untitled-no-103,Papier mâché and pigment on paper
fffd9073d12d822a1cffd76929245af0,moment-of-surrender-157-version-3-stairwell,Oil on board
4579f5741286c04980dd1f22f334c509,berlin-painting-no-17,Oil on canvas
7b4bd456089d7d10066492a2233dc4a4,trees-at-cogry,Oil on canvas
aed3d4d5d480ced7b5eedd9a53c51323,senal-t,Screenprint
773458d3fa79ca12b504d8ee166daf98,between-the-eyes-t20,Pencil and ink on tracing paper
fbcfcd2f24344709b4f37397df56e04a,installation-with-neon-no-3-commissioned-by-g-lambert,Mixed media
4c644627163407bc3ffc4445f2509565,old-conditions-for-new-love,lightjet print on fuji crystal paper
f3e62011453ccf98a2439db77240ba3a,study-for-between-earth-and-sky-i,Drawing
7271a3a0dd67de40a8dc052be4de431b,image-of-w-b-yeats,Oil on canvas
692a2fef29dd20c043b8cd0b6c8a2450,the-welfare-of-tomas-o-hallissy,video
6a5e65ff13e57fd62565c150a4b75c09,bog-water-poured-into-grass-summer-diary-no-5,Charcoal and pastel on paper
7612fb0d9999ffa5e179167c5c776d33,mene,Screenprint
df17f0f34699ce6342e85ccb16c1ae86,people-and-a-morris-louis,Screenprint/glass acrylic on canvas
6144a5cf780132918379776ca5e363dc,crossing-the-rapido,Graphite wash on canvas
12c67898f6619862c738fcc580fbf441,water-sand-sticks-stones,Language + the materials referred to
fe1cb660dc618d5308bc2fe67b422097,untitled-56,Screen printed in blue and black on white paper
ad779a22ac26a16e258a0c616aaba93d,between-the-eyes-t13b,Pencil on paper
55ddfa41542867cd420293d94df349fd,split-face-i,Oil on canvas
d8bd9d7ba6a074fdda8bbaf880393d29,jeune-fille,Screenprint
c761c8f997caae343eb3753464111e7a,the-property-of-oscar-wilde,5 color handset type letterpress on cotton rag
84526ad5dc2f6743854419d9315f1cb2,juegos,Lithograph
1f9ed3b52d10010d7e82a344f2e5a1c3,body-soul-portfolio-3-9prints,Etching
941847b4f70f01626dec6770f8cebd63,st-stephens-green-closing-time,Oil on canvas
e3bd840423f7ffa41c19087940830e0f,donegal-couple,Oil on canvas
8a0ab13e032b14e6eadc7d7ad96186a4,body-soul-portfolio-9-9prints,Etching
a30424ee0e527c1d72f3d251e5887a5b,metamorfose-da-razao,Screenprint
e85a79fcb039dc5c98ecf2a5fd5eb1c3,summertime-in-italy,Print
c18a09206b4613f82a4fde3393161166,moon-and-hill,"Alabaster, metal and wood base"
6dba1cdfc4f342edaef4bf31dc4546e9,estampa-idealista,Etching
cc9f5d0008a6bf0c2d7e107dbc2b0905,an-anatomy-of-melancholy-iii,Oil on canvas in 3 panels
3e0ba206eaebbbc128ae5ff1c34d89dd,the-robert-ballagh-monograph,"Limited Edition Monograph with 24 original Giclee prints, archival inks on acid free museum quality paper with each print individually embossed with the artist's own monogram. Hand made solander case. It is protected in a custom made canvas slip which is embroidered with the artist monogram"
478a4536a9563af752e0c89a2117a428,volume-i-new-years-book,"Etchings, copperplate and nylo prints"
1273351605e43df2f888fcd9d8eaffc4,bird-man,Oil on canvas
b32935bd37e9fdc8b49f5201d94b3c79,six-bottles-state-2,Aquatint Etching
35e674cadd3bca16b4e4dd926b1f71d2,barrio-del-cantador,Etching
42afcca800b8c5a6c10e1da10b7a82c3,some-myths-of-black-and-white-photography,Screenprint
590c9bd7074eac53032e70234e5cb6f5,moment-of-surrender-140-version-2-dream-home,Oil on board
7c51efbb2048951cb14fbbbbbde8d9cc,red-one,Oil on canvas
483f027d475428795fb3c1dd2d4c2d05,untitled-105,Royal Lesotho Tapestry
d977186dd6fa93af19878adcfc425706,general-ford-chief-of-staff-of-british-army-at-bomb-site,Etched on zinc; printed in black ink on white German etching paper
af66a555e8a153fc7600b2cffa8fc333,christ-rising-from-the-tomb-last-work-byartist-part-of-uncompleted-commission,Lead maquette
a270a2c431b19b3b444a293fe31f58f1,demolished-printportfolio,Duo-tone screenprint
ae16f05be9bcb5b3961eea9463588927,clare-island-county-mayo-ireland,Gelatin silver print
6d92d8fa9ea90cc87e93c45887fd4db5,untitled-81,Oil on paper
d879cf714a430d3d76b9e7325abf3727,disintegration,Oil on canvas
ad111f7e227716f5a882888d6ef35b9d,all-hawaii-entrees-lunar-reggae,Granite
bdd0dcd5637f83b745bc817bd94c6aa4,european-dream,Prussian Blue Pigment/ 24 Carat Gold Leaf/ Steel Table.
8d0d5b548893d2275b80a6680e5f0453,fisherman-and-boat,Oil on board
d86574cb125da27d124e605701f85bf6,red-brown-and-black,Oil on canvas
a0a176b81cdcc779ebec43dd3f7ba482,yagul-the-golden-bough-5,Book with screenprints
64c73afe01eb88c7329608d329a8d87b,loch-ness-from-drumnadrochit,Pen and ink on paper
4c59ccc889c053a5f645b96f429733d6,flash,Painted wood
4abff917b9da6e109d13b0f1e84ed5d5,allies,19th century print and wooden floor-piece
b77779e7a32226d7162b9866b218f736,cross-on-a-distant-hill,Ink and watercolour on paper
d61dfde3a7173e042d5a598023d1e9ff,the-troubles-an-artists-document-of-ulster-28,Archival cibachrome
58e729eb0ecbd6e6a09a5203e85c09d9,a-willow-or-without-godot,"2 ipods, headphones, mattresses, stones and gravel from the Museum grounds"
c799914e77a761b131c76263d3455ed9,untitled-141,Oil on canvas
0a83032be59e7563d093c5cb7303218c,dowth,Gouache
bc08ed15ccf0f907bcbd906fd4f42216,growing-up-in-public,Digital c-print
7253f0328ac38fb11b531abd285b8a0a,the-troubles-an-artists-document-of-ulster-57,Archival cibachrome
dabfee5d74d408b306f04808b25935c7,the-desert,Colour etching on paper
54bb56bdfc65f8c1a4202266c5853312,belfast,Silver gelatin print on fibre paper
b4918f02638a86ba362dadae746867f7,afghan-tour,Oil on canvas
9cee2a4d329798dcb96263a40d777293,el-grito,Screenprint
7ef23ed91bb98366f8c383ed50b1c9ea,callan-landscape-3-aspects,Gouache and coloured chalks on paper
53eed8ab8a17453fc37e77bb8d23e3a2,untitled-q-96,Oil on paper
4a257e3091c04b8c6f40616f85bed249,nude-2,"Charcoal on paper, double-sided"
afdf5d5be15e5f40f311af0cddf66eda,chaos-and-dreams-yet-to-come,Mixed media
d5f464410df5f8a2041ad638d93ecbb1,parachute,Parachute and gannet
1a93988fd0ecdc6a8c58334ff3836ff7,woman-from-another-planet,black and white colouring pencil on rose pink tinted Canson paper
8350e5a3e24c153df2275c9f80692773,"",Watercolour on paper
3060bb03e3a8b59ee851c2e090c1b56c,field-of-old-stones,Oil on canvas
191b649c664413e55ab1a2d616d8576d,nocturne,Oil on canvas
daa0a8f10c44c6084427a1b0e937228d,beckett-series-from-an-abandoned-work,Etching
ac7b2199de9b1249cabf8fc8f4f7e219,untitled-4,Lithograph
393d03c4cb3ba2ed90f6b6f76ce00f77,refusal,"Bole clay, oil paint, polymer and pigment on constructed wood"
5046518301c37e32e1a2b39851422e71,water-source-ii,Aluminium with rusting lacquer finish
ac8b4bc9db8fe45409d653ffdf143e1e,bed-time-from-the-snail-chronicles,Etching
5e4bc439b7f23757756c66f6b5bf612b,office-ii,Oil and acrylic on canvas
6175d0d8cbe7bb63ac8ebcfcbcb6d38e,copper-etching-plate-of-donegal-man,Copper
15ed38bf3a4eab235d1ac05ccdba35fa,from-nineteen-greys-b,Screenprint
4524c81b9fc57b3c3fb83eca3514d11d,servando,"Etching, aquatint"
d2853fdfb4377caa30247a0d7dcdc7f8,favela-vila-prudente,Cibachrome on aluminium
c791389f51c07bde622580200d92b152,untitled-atomic-explosion,Gelatin silver print
14a520ee3b4dc3aa6b51e0f90d0c4ed1,polythene-wrapped-turf-stack-and-an-egg-broken-on-a-pan-summer-diary-no-6,"Pencil, chalk and charcoal on paper"
c159b8dbe0c470f4e91041465f43abbe,ironing-pieces,Organdy
f89235e079db60a6822f81fd86deeba7,untitled-53,Letterpress printed in black and red on buff paper
38adf9e025e625b5df5cef8c8206485a,window-iii,"Acrylic, pencil on canvas"
3e4ab831835ba57f482f21f71c0e590b,uaimh-4,Mixed media on canvas on board
ccc68a9892c44113a3d02d0d55c8896e,the-essentialist-theory-of-art-fallacy-theory,Mixed Media
2889a6214893b0002ff6b5060bb85211,water-and-rocks,Oil on canvas
692c3f0cb1c3d04116da0a8375025e57,the-red-badge-of-courage,Oil on bookpages on linen
6e7146fd2382eebd60a914f3fc2d37e0,portrait-of-girl-with-astrakhan-coat,Screenprint
ed3d0f77b43cdfd9aa83f0f1cead2622,winter-grass,Double-sided
43a4404e80268644252ea89ae1bf2816,the-land-of-punt-5-the-leucotomy-ward,Acrylic on canvas
21ceb31ec3e80df154686282ab2ce290,the-troubles-an-artists-document-of-ulster-43,Archival cibachrome
6dad5665d65c4ad989af6fa03a405606,gorget,Watercolour on paper
56a13d11686314b94042279b40e0b0cc,property,Newsprint on card
5317f805318dcd8c97d0b2f07aeb83d3,rhythm-10,Framed black and white photograph
1ce4d3cf1f9421ceaaecd58259aa92e5,image-of-seamus-heaney,Intaglio print on Japanese Kozu natural paper
7fc298225c5b4a4f64496d6f0ffb3586,the-land-of-punt-3-a-pair-of-legs,Acrylic on canvas
83d2ee7fbcc8d1ea939dbb290c5c20e2,ch-17-pay-per-view-the-scrapings-of-the-palate,Oil on MDF
5415030406b0c52d000fde8f5490ea17,booterstown-marsh,Wool
ff049ad16bb9c2e9252a052ca62c1dc5,crucifixion-study-i,Oil on canvas
00e3438d484e00804b315c3e98baaf61,comma,Colour etching
ae13bcdab58add9736d35846525e15d8,donegal-man-profile,Oil on canvas
92726f8ca1c705e7a3a0b2e123510539,the-luncheon,"Photograph of wet toilet paper sculpture (Sculpture: toilet paper of varying colour, water, black bin-bags, real stalks, fake flies, disposable tableware)"
d4cf2e2efadf5ff319ed10fce505d714,promise,"Ready-meal Packaging, Plant Pots, Wire, Wood, Lighting"
2c40f234691a1b084149c440815b1de5,water-source-i,Aluminium with rusting lacquer finish
2f830ca57fed6c754b477f0ebc137070,silver-photograph-i,Black and White photograph
4e40cdacd33f666cb63c80e17fe01729,not-again,Screenprint on canvas
eb0cc34cc4d5ccf558a07ee48e0f2d26,personajes-en-avance,Etching
d55a4ad83db50d3e25ccbbbc34f92100,tarot-set,79 individual playable tarot cards
8bcb3e382001c43beb79f6dc26cbe688,a-monkey-parade,Chalk on sandpaper
8bbde38c33f1ae2b2c6153f6ae098e6a,one,Oil on linen
8ed8d4dec59fed5585dc35b003111525,dublin-side-street-off-rathmines-rd-lr-f60-p29-2-15,Black and white photograph on Agfa Brovira III paper and selenium toned (1:2)
45e4a64e48a00e63815feea2aeee4b31,lirios-salvajes,Lithograph &amp; etching
70b52f8f75c8d5384293a0d5ed5c0e28,i,Oil on canvas over timber
192937d44e85c6f467a0d2452383a242,controlarms-campaign-dortmund-germany,Unique cibachrome
17db08f1df177716b91da99c09c0647b,portrait-of-gordon-lambertcommissioned-by-gordon-lambert,Acrylic on canvas
68aeed2fb2c84e7733ca06174d43e9e1,killarney,Photography - Digital C print
3be6b7164e0c17b173e4e94eedcff4ee,belfast-after-the-riot,Oil on board
5d5a60936d174bf03e505ab09318298f,poems-by-nick-nicholls,Work on paper
d553b77891796dd4d4c1ede184234b0d,red-torso,Colour etching
680f583f1beb8d70ad390092cadf0b14,en-acecho,Etching
aabd0db03f32137518a85704515c2563,the-wild-geese-iv,Oil on canvas
4ce41c3cb7110368cde2768b2bcda859,mnemosyne,"Stainless steel, copper piping, condensing unit, corian, refrigeration gas."
866050bacffc95a60684af896fd4ae6e,bethany-drawing-2,Pencil and coloured pencil on paper
6374943629d089aaaa539b98931caf30,a-safe-place-to-keep-my-money,Mixed Media
8871c46bd93b523a6bd8ed1c63eb5913,a-yerba-buena,Etching
bc535dfed461e3e4708794b1d3e5b527,studies-for-webs-backlight-series-v,"Ink, pigment, acrylic on paper"
49807d12343b66b01351b94a63163bc9,trada,Aluminium sheet with shaped area in PVA on cotton duck
fddbbbc44af5f07af62fdbd571dc59d2,painter-about-to-paint-a-painting,Oil on linen
d63111eec6471360c655a2cb7290f671,une-nature-morte-a-la-mode-irlandaise,Acrylic on paper on board and acrylic on wood
3bf32847ac31a9de92bf089b4d7fb9b2,the-troubles-an-artists-document-of-ulster-18,Archival cibachrome
ec590823943e8cdc259ce0c7b500e196,crush-hour-oxford-circus-station-london,Wool
62ff155e7668ff4864120b2773c36b0e,untitled-61,Eight-colour screenprint on hand-made wove paper with deckle-edge
26d84c8ab826ea9eb4c7ad9424bacf8f,three-dimensional-piece,Painted wood and card
5cc79979a95851c079138fcdc1186954,midnight,Grey painted steel
dd7a054743ab917f742cfb6c863e97af,tabernacle,"Currach, shed, wood, roller blinds, mixed media, video"
da211fbf2925beceec6f2658cb38bc3c,physicianstown-town-callan-1979,Gouache and coloured chalks on paper
10699a277fa42bfa188fc1e1c6860c63,still-falling-i,"Cast iron, air"
099ba80f7fd968c34ae71141fa5b49b5,isatu-an-ee-cat,"Digital Print, Drawing on Photography"
f648373a2f3b2776df70023e6f3a02b8,border-incident,Cibachrome mounted on aluminum
e828aa415b7976dc78809054b73bc9b6,the-troubles-an-artists-document-of-ulster-51,Archival cibachrome
307721b29259fdbfe058dccdb8370d0b,klub-sombi-no-1,"mixed media (canvas, pencil, paint) on paper"
d1ad13fd86294066fddbd6159eae2679,maquette-iv-walking-couple,Bronze
0e045bebb4e85c79e09fb3f093a4a4f2,in-times-of-artistic-stability,Ink and computer printout on tracing paper over found paper
6d0d52547d73d7c7dabaf8e13a89f46f,pride-of-place,Pigment on Copper House Photo Rag
4280cc6e68817b6d12690c4c422108c1,nose-flattened,Etching
3591d3a8a05d2ca1ac406c7b172ddb7f,minor-incident-ii,cibachrome mounted on aluminium
35f5334886f3a4053821f1f22cd3a104,slow-dance-forest-floor,"Oil on wood, wood, mixed media, glass"
6aba4f098f659acb885e9396dbda971f,escenario,Photogravure
5790a1a1822ea83f8187a840b0fe2612,naturaleza-desde-la-ventana,Screenprint
d625c0992edc8321e3258e698704d24b,yagul-the-golden-bough-6,Book with screenprints
2357ed8a4e8814beccf2b7df7698e6a2,no-la-tires-dont-throw-it-out,Offset lithograph
2fd80672cffceb8d2b3f47d6de2b6df7,crossing-the-nyc,Etching
1ab1e1db0fe0375aaac8673977b030ee,county-kerry-2,Photography - Digital C print
66beb8e0a0bb67791d1a7ae6d603e0bd,mensajeros,"Etching, aquatint"
2136cc8ba2895e7492f02b1b8b7359ef,after-piranesi-i,Sepia ink on used ledger paper
5ded3d25d24765b63fc76817139bd5b8,police-roadblock-at-civil-rights-march-just-outside-belfast,Etched on zinc; printed in black ink on white German etching paper
5770659315a723111b8f11d598de1edf,between-the-eyes-t24,Pencil and ink on paper
48a209d9967458a280377746e2d8ceaf,the-singer,Conte and wash on paper
29c6f224f89bc816cf4f107335adb0e5,the-land-of-punt-6-crucifixion,Acrylic on canvas
0e5505231797c01e60b3ab2d863a8cfa,paris-zoo-afternoon-of-a-faun,Pencil and charcoal drawing
62525740b48e2945fbe25dc08bed025a,l-2,Oil on canvas
1964970545e5c79ff23769be70a6df76,three-studies-for-a-crucifixion-ii-2,Three carborundum etchings
d71cbf8fd42efa4407ddb638c6e706f5,waves-pourrais-je-emporter-dans-lautre-monde-ce-que-jai-oublie-de-rever,Video
1826cf0654c6e3d52fe84a393547a65a,the-tain-army-massing,"Aubusson Tapestry, Atelier René Duché, 1999"
7b66bbbcd8081810677a2fb2e0259000,electric-elk,Oil on canvas
04551ab124f39ce0251658a9bfabaa55,bird,Oil on canvas
37840de6f0978caae4e1b1dbb43d397c,pat,Black and white photograph
d339d966cade984e0822c1cb88fea46f,red-folded-soaked-linen,Acrylic paint and Linen
a219b44b6fc12785c74dc75f8e2a9194,study-of-floor-ceiling-piece,Correction fluid and ink on graph paper
d88213efcedcc5e0c309a1c3a2b72516,family-winter-in-ronda,Screenprint
b0a2f9cad6e67cc75d525aef9b93fbc8,hosting-of-the-tain,"Aubusson tapestry, Tabard Frères et Soeurs"
b49f97bbe12b1cbc480a8527dd2eca4e,pelle,"Collage, etching on paper"
db77429045b9f725c7f0890905ca203f,lough-arrow-algae-iii,Oil on canvas
9c32b9c9f8c2afb05d8384072bd15b5f,six-cherry-blossom-petals-falling,Lambda print
476084fefcbb0fb5a20b84a49ff49dec,untitled-31,Etching
52e53639c4ffd169761e53076259972b,painters-garden,Etching
306d178f90c225d7488b62b80f40d0b9,winter-lines-and-greys,Oil on board
9094b9bfb4d47529fdef83a697e77a09,wall-of-light-blue,Spit bite aquatint on Somerset paper
f810bf592a78a1ad8f41d4790b6d489b,work-from-a-darkroom,Black and white photographs
da9c53196a8a15470ab3d9eadea60afc,portrait-of-ann,Oil on canvas
2b6fabcfdbcef5a208af34edcd56c050,authochthone,Sanded aluminium block and Damner oil binder
b88dc322a60a3a20fb42f25c5f68e761,link,Oil on canvas
2149b3552771fd9303ba17e001130915,el-cuadrado-y-su-sombra,Screenprint on paper
a855e0a22dba00a8335ac85bfbaff387,a-reflection-on-light,HD video
d3a9acb4768d707964e20c4c18faa6f3,head,Silkscreen
1445a0b5a5639497884e34a6af550a49,pink-abstract,Watercolour and gouache on paper on canvas
72cbd839cb15a67af3093baf475d537f,soya-ii,Colour etching
a24f83e14e46169da537fe840f2a74a3,study-for-the-kerry-babies-trial,Mixed Media on paper
7bc31a0e3bda7697a7b0055eb16812ba,pigeons-notes,Gouache on paper
990e42b4cc24dee38be55cef275041f2,pei-architecture,Coloured Photographic print
c2810ee56a2b1ac74d03e7e968bb2098,old-man-smithfield,Selenium toned gelatin silver prints
89f43addba0d3a6a7c88a39cffd71a29,untitled-no-124,Pigment on paper
c322d6d7d05f0a01bea3197d66c1e471,large-rosc-symbol,Oil on canvas
59ab7e7f71d1c447642c9c70478a4e77,studies-for-webs-backlight-series-vi,"Ink, pigment, acrylic on paper"
bf39ab9eae83f670580d6e90d757762a,laden,Painted cast resin
8b00513de2ba1051c1a8e93fbe1c4c22,self-portrait-with-blue-red-and-green-4,Mixed media on paper
7b0eec7e49e8785b7bb4d72391e9596e,glendowan,Conte and wash on paper
344985bad64e09d11b6d8a581bb517ee,portal,Black and white photograph
09257f2940ac956d51129557137010ea,bird-against-the-window,Oil on hardboard
aec4af0b2e14d456eee747f16b69751b,hatteras,Lithograph
24dfd3fbb0cc961c5b3119b4da823562,the-weakening-eye-of-day,"Mild steel wadding, wood, thread"
ad4cb07d184efb2d04e4f4ae1e6dc947,bull,"Bronze, unique"
a902c6707bc94d8441fcdc5817f67272,the-doors-to-good-and-evil-and-the-windows-to-heaven-christinas-world-rope-drawing-124,"Site-specific installation, nylon cord, water-based house paint"
ac63245120bf76d63c7f4e7876a2fa64,border-of-vicissitude-of-brexitaria,Oil on canvas
e66e1821e059e4789bcdd7b847a575f4,from-the-burn-series,C-type print
45f7eef0d782083e3f44fc9ab0e11ace,untitled-139,Ink on paper
8454af65e63ba2f409c246e1f7ca4de7,boy,Oil on canvas
34f28dda89ee7f236352c100324f6ba7,between-the-eyes-t7,Pencil on double sided poster
750b988a95f41721950d0ba3f75d7ef6,doublement,Stainless steel
cc5f50e8b4b4d84a55db384b86ab3a1e,the-troubles-an-artists-document-of-ulster-21,Archival cibachrome
fb87f72965a961528d84ca842a6e29ef,nature-with-history,Oil on linen
02406a26d8411cef9a86f410ae872546,andante,Oil on board
b4849e4405d104d970b6d7fd91aea2f0,untitled-113,Oil on canvas
e1b0b956f29657d0d7167656504f7f61,permutation-series-4-8,Serigraph
41a89a7bafbb3af2367d44228b950b81,untitled-i,Acrylic on canvas
781c98538b729fcbf016c6d765158340,portrait-of-woman-with-striped-dress,Screenprint
be3dbd80df52230f04f9f8d32540ef15,al13-eoin-i,"Acrylic paint, brass wire mesh, aluminium"
8e6a9de5ccdda4bb1b19ea8b04617824,winnie,Black and white photographs
f2c03c3e5dc3885172eced55c17ce8a6,the-tain-cuchulainn-displayed,"Aubusson Tapestry, Atelier René Duché, 2000"
9cc984b4f5f5075bfec60fec6eb9877a,skip-ii,Oil on linen
4181aa514e4ac59f22b694894c656d43,babies-in-the-bed,Colour etching
ea990015ee3707e9b465ad4715386b70,untitled-48,Monotype cast and set. Printed in black on cream paper
5074bf112bd1f02e701085061ee669ae,how-much-no-thanks,Digital print on archival paper
e946c35d3794ba037d8044f24ab1bd00,help-women-of-belfast-series,Bronze
5649adae0f729c881edf250ff514ecef,broken-barriers,Mixed Media om Arches Oil Paper
f6d1181008055e0572c720aebc412689,no-8,"Graphic, aquatint on paper"
e10de1bfa7f2245227463333167bc11b,preliminary-drawing-for-body-of-thought-no-i-bt-6,Pencil on tracing paper
295166ca955c0b69af0c18b734d6da74,brain-and-miniature-electronic-device-on-a-table-in-preparation-for-a-lecture-in-a-bunker-in-armagh,Pastel and pencil on paper
411b14673e03336c97f08c986ca9c421,the-troubles-an-artists-document-of-ulster-79,Archival cibachrome
7de520b3213e3d4e023c5cc85d296fa7,girl-with-cat,Watercolour
d4dbe85ec441bbab1e86190a536a5543,untitled-22,Oil on canvas
c0cdce0104add9e3d37268e23e0f1a42,working-drawing-for-body-of-thought-no-i-bt-11,"Pencil, crayon and ink on squared paper"
65cf3664d2cefec39d72cba0ca142e7e,red-snow,"powder-coated aluminium, Plexiglas, Unique"
24aef3465752a49ea879b9426109e0ed,political-speech-chief-executive,Oil on paper
24d48564d38978b78ae4fe2fd4e83510,freeing-the-memory,Framed black and white photograph with framed letter press text panel
a7ef9f356f8030f02125fe9d2121640f,beef,single channel video
fc4c16a305158686b686de86afa7099e,the-troubles-an-artists-document-of-ulster-7,Archival cibachrome
3044330c211bc167de41384c3aa27008,fishing-harbour-night-mending-nets,Oil on hardboard
532b85d4175b4d501d9abb5dc111370b,derry,"Etchings; aquatint, drypoint, spit bite, etc."
3559aa8cbf28d9c2ac66657c209104cb,entering-jerusalem-ii,"Oil on canvas, 3 panels"
0984a751dadf59c30a0ec6b3c672cb80,puck-fair-killorglin-county-kerry-2,Digital C print
5f0748f334e2c5b70ea2d253061d615b,untitled-28,Acrylic on canvas
df68750b6321844b8cfa0c582d73818c,the-troubles-an-artists-document-of-ulster-26,Archival cibachrome
626a62712a5d0ca0bcc3581ff2cdcd74,after-harvest-callan,Oil on board
5a9bbe174fc679d5f1c02cac9f7e9558,the-troubles-an-artists-document-of-ulster-73,Archival cibachrome
454999e04687755bee740f886fa267b6,redeem,Oil on canvas
5365180e85df0aff24e1c65bcabf15a3,donegal-man-2,Oil on canvas
3b70c0a18da92b384f6645b439615fda,duck-out-of-water,Lithograph with silkscreen and collage
2579eef02db5f27b364cbfcd6613c7c2,lunglove-49,Black marker on paper
1f86e8ebc9cd00efed0862a6e33c549b,study-for-floor-ceiling-piece-2,Correction fluid and ink on graph paper
983662a9173cc82fc8c39ce7ef79465d,senator-gordon-lambert,Pencil and watercolour on paper
9304283629be0abfcf1c888cc81dc939,peacock,Papier Mâché and Nepal paper with ink
e3b0fc62d033cb55c7dde7082da75cd2,where-do-broken-hearts-go,"Continuous tone photopolymer intaglio plates, tinfoil, glue, resin, woman's voice reading Country &amp; Western songs"
68a3186e53b6e8cd3cbd0a596a839bc5,the-maxol-family,Liquitex acrylic on board
5355556cf710f7ad78b415aa981b0aa9,bodegon,Lithograph
882d1750f9c07c90409e6a6f9e340158,atlantic-1968,"Gouache, pencil charcoal and sand on paper"
08627e91cfba54f5ca648e16e714f4bc,sitting-in-the-closet-primakov-vi,Boxed portfolio of 47 offset prints mounted on cardboard
2293ce420748b71598b058568e089e4b,near-vision-test,Ink and computer printout on tracing paper over found 'near vision test' card
06a27f435664ce2a49c9750976f09246,untitled-78,Oil on canvas
88624a8be303cfc696a2a37faa8a712b,parallel-windows,Oil on 12 shaped canvases
394efa2e1457c085e4218120b9e7a041,waterfall,Colour etching
7175cab654e4518ed4169797386a87e3,body-soul-portfolio-4-9prints,Etching
746c827f6baf335dd4751d6f682a1575,entre-ici-et-arles,Lithograph
dc51bce2795e549269fc178fc3d43b76,nucleus-restriction,Oil on canvas
