hash,id,material
89eca9b68b7e76aa58f82231ddefdd96,goodbye-old-paint,Mixed Media
b3f9d09d49ed939512e664ed38477403,dublin-last-waltz-at-the-shelbourne-hotel,Over-painted photograph
bee744ba1f160912b15468cb483bc746,the-descent,Mixed Media
147c0c1904e7e98b0a74ceca64b490b3,patio-reflections-with-susie-and-interior-paradise-2-bahamas-1980,"Gouache, pastel and coloured chalks on paper"
879ffb47522ef45c3177ccf536c62e0b,two-bottles-state-1,Aquatint Etching
72100ae6cae69f50a9cafc7c93f2d40d,document,"Work on paper mounted on metal panel, metal structure"
00d680fc820c687dfd525a95e52cfe92,jump,HD Video
6fc38cde503d09e9c1f3a72f3b89adcf,october-1971,Collage and gouache on board
859cc74bf8209b5352032aea5a5492b9,untitled-112,"Moulded canvas, acrylic"
ba58d5a10bc97a08d95cac4481e61853,homage-a-braque,Aquatint on paper
425e5298747810e18ab13c29433ce669,the-troubles-an-artists-document-of-ulster-22,Archival cibachrome
0a3accaa5f5e7ceba56c1e9dfa6cb16f,sea-of-japan-rebun-island,black and white photograph
d51e5eea64ef959101840b58267ef529,liminal-3,"oil, charcoal and ink on paper"
34467058fe5364e5a441da65393c7d20,greaser-slat-v,"Hardboard, wood, grease, acrylic"
6a1f1b3f220832436c13f5572d306180,pagan-lesbians,black and white colouring pencil on rose pink tinted Canson paper
64468c164b98442d2bb7236b0d12c9fe,aran-landscape,Oil on board
346d2dfb3bf872fcc22c7cb28bda39df,eddie-sylvies-brother-in-the-desert-ny,Print
b529871e9dd2fec99019c5e1f57faf2a,on-exactitude-in-science,"Two-screen HD video, 5.1 audio"
41b4e981e72f6871078892b6d2e0ed57,untitled-21,Carborundum print
e48a722718deb478c2f252964d96a7d9,hors-du-cercle,Coloured lithograph on paper
b33a40cdb2b82eec6d759e3f3375d810,davids-mothers-white-bowl,Iris print collage onto a book; Iris print dry-mounted on aluminium; ink on paper; acrylic glass and oak frame
dd749535e1830c556b3f7151dac2a3e5,untitled-99,Screenprint
8a649df9629405e58493876b8fb15c58,three-kings-resting-christmas-card,Colour Etching
b1c07d86c378b339b57340ad8cd592d4,anna-on-a-sofa,Oil on canvas
563a00adc04f5d5b68158abfbfbb9ea8,leslie,Black and white photographs
e2f3698726dbdbb1c2a76580e8aa2b25,soya-ii-2,Etching
02ef6c42d77ce364d71aa4ca0a0c89ba,portrait-of-ian-baird-holding-a-drawing-of-his-wife-beatrice,Watercolor
a5730f781a35f93a4ca945bcb97201fb,gold-ribbon,Colour etching on paper
0c684b3a41b3207b384393ef74ff474c,objects-with-colour-2,Oil on wood
0691ea9f6b988ec15cf86863100dd37d,untitled-49,Letterpress printed in tourquoise on white paper
8ea6072d569fca68c4728620313fd6de,the-field-on-the-mountain,Carborundum
b9307824c067290f016820bd8bdf4567,expand-expand-through-bush-land,"Bucket, foam, imploded thermos, insulation, light, maracas, neon, plastic, Polyfilla, rubber, socks, steel, string, synthetic fur, TV monitor, water and wood"
b03f5a6b8e513ff8d25b2904ec0b9c91,accordianed-paper,Acrylic paint and water soluble graphite on drafting vellum
8b19d5b5fb81f3f2b7ee49c8a8499d6a,between-the-eyes-t42,Pencil on tracing paper
bb98cf62133140951c4c3b1f42daeabd,snowdrop,Etching
0b07f9f6ac8d6bdbbe21945b4a50d0f5,zabriskie-point-death-valley-ca,Gelatin silver print
e3b872f4347b76a542d97edbb7ad30c9,green-touch,Acrylic on canvas on board
ba975ee62197723a736cc352c37af789,cassiope-tetragona,Photogravure
5ad85d3e54c71ff19c9e8def6b79cc3e,interior-decorators,Oil on canvas
18a8bb98ac105ba89976824f2571ed4b,afghanistan,Chromogenic print from digital file
67087e8677b1382b2e9f10a85f86e05b,untitled-115,Oil on canvas
4f7b70b095236dae0a716d30241d20a8,orange-cross,Oil on board
a201640502f33fba1f8d341100b69789,purple,Screenprint
a42581b0114c3f89e6e22ce05bcaa3a6,il-fume-e-le-sue-fonti,Pencil crayon on paper
7a4512a62ea91017ade12e7fd2bb6f7e,untitled-27,Monotype on paper
2044ad634d29361cd2d8e05a371778c0,two-brothers-from-ulster,Oil on canvas
8034164c72909a4270c6124c1e1b1d97,dead-texans,Pencil on paper
9d66ef1c0ebf085a504dccbef0e70079,i-r-a-handmade-training-chart,Etched on zinc; printed in black ink on white German etching paper
7e8828e4579e7985fdb6785b44264671,petra-rentas,Screenprint
92cb4a194b2f514257cbaf04932f1b62,loss-memory-her-shoes,Photograph
1d2174db53e0dcb2a9cd1fbe6bb16e2c,drawing-of-merrion-square-1,Ink on paper
9420463eadaa7b4b8813a9dbf60eaa60,the-back-of-tory-island,Oil on canvas
236aac1163e48fdef990913534fa954d,plants-ii,Conte and wash on paper
4fa24a6ac78f32971c97f6715341c87a,orpheus,Oil on board
5ae51682b6c643b2ec3db97d75e9f92b,azimuth,"Wooden flagpoles, sackcloth, wax, wood stain, graphite, wax"
50ee1c08c3ce3c58c1685228909a141e,untitled-46,Letterpress printed on cream paper without ink from a plate directly made from paperback's page
9569155ab080b95f01fa4f5de4536996,pirates-taking-away-children,Etching and aquatint on hand-made paper
ec2ddbcf94c29140ae99dd365ef42672,precious-basics-ii,Colour photograph
f23504c78c4e64f3040662fad6b2f4af,untitled-137,Oil on masonite
0531a6ab4e3c763cfe0d3ddb5f64e267,rhythm-5,Framed black and white photograph
7fec13b674a4c16c30eba65076c898e4,a-place-of-habitation,Carborundum
281feca3fdaee6344e69406e659654df,window,Gouache on paper mounted on board
ac2a6e552f11a0d9ea8801779c00f8fc,sonnys-day,Oil on canvas
2ae74014145b435703038c8727384033,liminal,"oil, charcoal and ink on paper"
